"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C3","1","10pF","","","","","~"
"C_U0_1,C_U0_2,C_U1,C_U2,C_U3,C_U4,C_U5,C_U6,C_U7,C_U8,C_U9,C_U10,C_U11,C_U12,C_Y1","15","100nF","","","","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","~"
"D1","1","1N4148WT","","","","Diode_THT:D_5KP_P10.16mm_Horizontal","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D2","1","Led_Halt","","","","Diode_THT:D_5W_P5.08mm_Vertical_KathodeUp","~"
"D3","1","Led_Reset","","","","Diode_THT:D_5W_P5.08mm_Vertical_KathodeUp","~"
"D4","1","Led_Boot","","","","Diode_THT:D_5W_P5.08mm_Vertical_KathodeUp","~"
"J0","1","~","","","","ConnPdSilva:conn_euro96",""
"J1","1","Euro96pin","","","","ConnPdSilva:conn_euro96",""
"J2","1","clock","","","","","~"
"Q1,Q2,Q3","3","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R6","1","10k","","","","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~"
"R7,R8,R14","3","1k","","","","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~"
"R9,R10,R11","3","470R","","","","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~"
"R12,R13,R15","3","4k7","","","","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~"
"RN1","1","5k6","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"SW2","1","sw_reset","","","","","~"
"U0","1","MC68000FN","","","","Package_LCC:PLCC-68_24.2x24.2mm_P1.27mm","https://www.nxp.com/docs/en/reference-manual/MC68000UM.pdf"
"U1,U2","2","74LS245","","","","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"U3,U4,U5,U6","4","74LS541","","","","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS541"
"U7","1","74LS148","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS148"
"U8","1","GAL16V8","","","","Package_DIP:DIP-20_W7.62mm",""
"U9,U10","2","SST39SF010","","","","Package_LCC:PLCC-32_THT-Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf"
"U11","1","74HC74","","","","Package_DIP:DIP-14_W7.62mm","74xx/74hc_hct74.pdf"
"U12","1","74LS393","","","","Package_DIP:DIP-14_W7.62mm","74xx\74LS393.pdf"
"Y2","1","~","","","","Package_DIP:DIP-14_W7.62mm",""
